Country,1990,2000
Afghanistan,,
Albania,645,669
Algeria,577,644
Andorra,,759
Angola,,387
Antigua and Barbuda,,
Argentina,704,771
Armenia,631,647
Australia,866,898
Austria,795,838
Azerbaijan,,640
Bahamas,,776
Bahrain,746,792
Bangladesh,387,468
Barbados,716,752
Belarus,,683
Belgium,806,873
Belize,644,677
Benin,348,398
Bhutan,,
Bolivia (Plurinational State of),536,608
Bosnia and Herzegovina,,672
Botswana,581,565
Brazil,611,684
Brunei Darussalam,782,819
Bulgaria,694,712
Burkina Faso,,286
Burundi,297,303
Cabo Verde,,570
Cambodia,364,420
Cameroon,440,431
Canada,849,867
Central African Republic,317,309
Chad,,299
Chile,701,759
China,502,594
Colombia,592,653
Comoros,,
Congo,536,490
Congo (Democratic Republic of the),356,333
Costa Rica,656,711
Croatia,670,750
Cuba,676,686
Cyprus,732,802
Czechia,730,796
Côte d'Ivoire,388,394
Denmark,799,863
Djibouti,,363
Dominica,,693
Dominican Republic,598,657
Ecuador,643,670
Egypt,546,611
El Salvador,529,615
Equatorial Guinea,,516
Eritrea,,
Estonia,733,780
Eswatini (Kingdom of),536,471
Ethiopia,,283
Fiji,643,683
Finland,784,858
France,779,849
Gabon,620,633
Gambia,333,385
Georgia,,673
Germany,801,868
Ghana,455,484
Greece,753,796
Grenada,,
Guatemala,478,546
Guinea,276,329
Guinea-Bissau,,
Guyana,538,604
Haiti,409,442
Honduras,506,554
Hong Kong China (SAR),781,827
Hungary,704,769
Iceland,802,860
India,427,493
Indonesia,528,606
Iran (Islamic Republic of),577,670
Iraq,572,607
Ireland,763,857
Israel,792,853
Italy,769,830
Jamaica,638,662
Japan,816,855
Jordan,617,702
Kazakhstan,690,685
Kenya,468,451
Kiribati,,552
Korea (Republic of),728,817
Kuwait,713,786
Kyrgyzstan,618,594
Lao People's Democratic Republic,400,466
Latvia,704,728
Lebanon,,
Lesotho,499,467
Liberia,,387
Libya,677,727
Liechtenstein,,862
Lithuania,732,756
Luxembourg,782,855
Madagascar,,456
Malawi,340,399
Malaysia,643,725
Maldives,,606
Mali,231,308
Malta,740,783
Marshall Islands,,
Mauritania,374,442
Mauritius,619,673
Mexico,650,702
Micronesia (Federated States of),,552
Moldova (Republic of),651,597
Mongolia,579,589
Montenegro,,
Morocco,458,530
Mozambique,209,298
Myanmar,359,431
Namibia,579,558
Nepal,378,446
Netherlands,829,876
New Zealand,818,869
Nicaragua,489,570
Niger,210,252
Nigeria,,
Norway,850,917
Oman,,704
Pakistan,404,450
Palau,,743
Palestine, State of,,
Panama,660,719
Papua New Guinea,380,449
Paraguay,580,624
Peru,611,678
Philippines,586,624
Poland,712,785
Portugal,711,785
Qatar,754,810
Romania,701,709
Russian Federation,734,720
Rwanda,250,335
Saint Kitts and Nevis,,
Saint Lucia,,690
Saint Vincent and the Grenadines,,673
Samoa,620,647
Sao Tome and Principe,453,490
Saudi Arabia,697,743
Senegal,367,380
Serbia,718,711
Seychelles,,718
Sierra Leone,275,284
Singapore,718,819
Slovakia,739,764
Slovenia,767,825
Solomon Islands,,450
South Africa,618,630
South Sudan,,
Spain,754,825
Sri Lanka,625,685
Sudan,331,402
Suriname,,
Sweden,816,897
Switzerland,832,889
Syrian Arab Republic,,590
Tajikistan,623,550
Tanzania (United Republic of),370,395
Thailand,574,649
The former Yugoslav Republic of Macedonia,,669
Timor-Leste,,507
Togo,405,425
Tonga,648,673
Trinidad and Tobago,672,716
Tunisia,569,653
Turkey,579,655
Turkmenistan,,
Uganda,311,398
Ukraine,705,671
United Arab Emirates,727,798
United Kingdom,775,867
United States,860,885
Uruguay,692,742
Uzbekistan,,595
Vanuatu,,
Venezuela (Bolivarian Republic of),634,672
Viet Nam,475,579
Yemen,399,443
Zambia,401,432
Zimbabwe,491,440
